FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016
01109,6058.00,4357.00,10544.00,57.45,41.32,16.13,7483.00,4334.00,11883.00,62.97,36.47,26.50,8004.00,5879.00,13955.00,57.36,42.13,15.23,7963.00,6035.00,14107.00,56.45,42.78,13.67,7693.00,5056.00,13168.00,58.42,38.40,20.02
01111,4666.00,3094.00,7919.00,58.92,39.07,19.85,6127.00,2817.00,9001.00,68.07,31.30,36.77,7175.00,3064.00,10384.00,69.10,29.51,39.59,7224.00,3078.00,10398.00,69.47,29.60,39.87,7705.00,2291.00,10187.00,75.64,22.49,53.15
01113,6198.00,8396.00,14775.00,41.95,56.83,-14.88,8337.00,8375.00,16809.00,49.60,49.82,-0.22,8705.00,10085.00,18915.00,46.02,53.32,-7.30,8278.00,10500.00,18879.00,43.85,55.62,-11.77,9210.00,9579.00,19256.00,47.83,49.75,-1.92
01115,17117.00,6485.00,24090.00,71.05,26.92,44.13,23500.00,5456.00,29161.00,80.59,18.71,61.88,27649.00,6091.00,34088.00,81.11,17.87,63.24,29031.00,5801.00,35148.00,82.60,16.50,66.10,31651.00,5589.00,38400.00,82.42,14.55,67.87
01117,47651.00,13183.00,62128.00,76.70,21.22,55.48,63435.00,14850.00,78906.00,80.39,18.82,61.57,69060.00,20625.00,90643.00,76.19,22.75,53.44,71436.00,20051.00,92507.00,77.22,21.68,55.54,73020.00,22977.00,101254.00,72.12,22.69,49.43
01119,1629.00,4415.00,6088.00,26.76,72.52,-45.76,1880.00,4527.00,6433.00,29.22,70.37,-41.15,1731.00,5264.00,7020.00,24.66,74.99,-50.33,1586.00,5421.00,7027.00,22.57,77.15,-54.58,1581.00,4746.00,6411.00,24.66,74.03,-49.37
01121,13807.00,11264.00,25451.00,54.25,44.26,9.99,18331.00,11374.00,29898.00,61.31,38.04,23.27,20112.00,13779.00,34204.00,58.80,40.28,18.52,19246.00,13905.00,33373.00,57.67,41.67,16.00,20614.00,12121.00,33407.00,61.71,36.28,25.43
01123,9805.00,6183.00,16253.00,60.33,38.04,22.29,12392.00,5451.00,17952.00,69.03,30.36,38.67,13116.00,6063.00,19311.00,67.92,31.40,36.52,12396.00,6319.00,18829.00,65.83,33.56,32.27,13594.00,5519.00,19486.00,69.76,28.32,41.44
01125,34003.00,24614.00,60114.00,56.56,40.95,15.61,42877.00,26447.00,69830.00,61.40,37.87,23.53,45405.00,32796.00,78912.00,57.54,41.56,15.98,45748.00,32048.00,78590.00,58.21,40.78,17.43,47723.00,31762.00,82700.00,57.71,38.41,19.30
01127,13486.00,11621.00,25641.00,52.60,45.32,7.28,19167.00,9016.00,28367.00,67.57,31.78,35.79,20722.00,7420.00,28652.00,72.32,25.90,46.42,21651.00,6557.00,28521.00,75.91,22.99,52.92,24266.00,4497.00,29472.00,82.34,15.26,67.08
01129,4117.00,3386.00,7596.00,54.20,44.58,9.62,5060.00,3145.00,8247.00,61.36,38.14,23.22,5654.00,3067.00,8775.00,64.43,34.95,29.48,5761.00,2976.00,8778.00,65.63,33.90,31.73,6042.00,2374.00,8533.00,70.81,27.82,42.99
01131,1661.00,3444.00,5126.00,32.40,67.19,-34.79,1834.00,3838.00,5682.00,32.28,67.55,-35.27,1868.00,4612.00,6494.00,28.77,71.02,-42.25,1679.00,4868.00,6551.00,25.63,74.31,-48.68,1737.00,4339.00,6118.00,28.39,70.92,-42.53
01133,6413.00,2692.00,9318.00,68.82,28.89,39.93,8130.00,2236.00,10423.00,78.00,21.45,56.55,8103.00,1757.00,10031.00,80.78,17.52,63.26,8312.00,1286.00,9714.00,85.57,13.24,72.33,9228.00,872.00,10313.00,89.48,8.46,81.02
02701,4681.00,1284.00,6656.00,70.33,19.29,51.04,6303.00,3662.00,10417.00,60.51,35.15,25.36,4149.00,2597.00,6970.00,59.53,37.26,22.27,5899.00,1518.00,7722.00,76.39,19.66,56.73,3180.00,2573.00,6638.00,47.91,38.76,9.15
02702,4235.00,2081.00,7388.00,57.32,28.17,29.15,5943.00,4961.00,11402.00,52.12,43.51,8.61,4029.00,3468.00,7735.00,52.09,44.84,7.25,5509.00,3096.00,9058.00,60.82,34.18,26.64,3188.00,1585.00,5492.00,58.05,28.86,29.19
02703,3135.00,3693.00,8225.00,38.12,44.90,-6.78,4790.00,6513.00,11748.00,40.77,55.44,-14.67,2829.00,5657.00,8767.00,32.27,64.53,-32.26,3769.00,2034.00,6069.00,62.10,33.51,28.59,5403.00,1241.00,7613.00,70.97,16.30,54.67
02704,4127.00,2715.00,7823.00,52.75,34.71,18.04,5802.00,4768.00,10987.00,52.81,43.40,9.41,4302.00,4161.00,8736.00,49.24,47.63,1.61,3586.00,2864.00,6787.00,52.84,42.20,10.64,4070.00,4162.00,9521.00,42.75,43.71,-0.96
