state,state_po,FIPS,gop_1976_votes,dem_1976_votes,totalvotes_1976,gop_1976_prc,dem_1976_prc,gop_minus_dem_prc_1976,gop_1980_votes,dem_1980_votes,totalvotes_1980,gop_1980_prc,dem_1980_prc,gop_minus_dem_prc_1980,gop_1984_votes,dem_1984_votes,totalvotes_1984,gop_1984_prc,dem_1984_prc,gop_minus_dem_prc_1984,gop_1988_votes,dem_1988_votes,totalvotes_1988,gop_1988_prc,dem_1988_prc,gop_minus_dem_prc_1988,gop_1992_votes,dem_1992_votes,totalvotes_1992,gop_1992_prc,dem_1992_prc,gop_minus_dem_prc_1992,gop_1996_votes,dem_1996_votes,totalvotes_1996,gop_1996_prc,dem_1996_prc,gop_minus_dem_prc_1996,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020
GEORGIA,GA,13,483743,979409,1463152,33.06,66.94,-33.88,654168,890955,1596805,40.97,55.80,-14.83,1068722,706628,1776103,60.17,39.79,20.38,1081331,714792,1809672,59.75,39.50,20.25,995252,1008966,2321133,42.88,43.47,-0.59,1080843,1053849,2298899,47.02,45.84,1.18,1419720,1116230,2583208,54.96,43.21,11.75,1914254,1366149,3301875,57.97,41.37,16.60,2048759,1844123,3924486,52.20,46.99,5.21,2078688.00,1773827,3897839,53.33,45.51,7.82,2089104,1877963,4114732,50.77,45.64,5.13,2461854,2473633,4999960,49.24,49.47,-0.23
HAWAII,HI,15,140003,147375,291301,48.06,50.59,-2.53,130112,135879,303287,42.90,44.80,-1.90,185050,147154,335846,55.10,43.82,11.28,158625,192364,354461,44.75,54.27,-9.52,136822,179310,372842,36.70,48.09,-11.39,113943,205012,360120,31.64,56.93,-25.29,137845,205286,367951,37.46,55.79,-18.33,194191,231708,429013,45.26,54.01,-8.75,120566,325871,456064,26.44,71.45,-45.01,121015.00,306658,437159,27.68,70.15,-42.47,128847,266891,437664,29.44,60.98,-31.54,196864,366130,579784,33.95,63.15,-29.20
IDAHO,ID,16,204151,126549,340932,59.88,37.12,22.76,290699,110192,437431,66.46,25.19,41.27,297523,108510,411144,72.36,26.39,45.97,253881,147272,408968,62.08,36.01,26.07,202645,137013,482114,42.03,28.42,13.61,256595,165443,491711,52.18,33.65,18.53,336937,138637,501615,67.17,27.64,39.53,409235,181098,598376,68.39,30.26,38.13,403012,236440,655122,61.52,36.09,25.43,420911.00,212787,652274,64.53,32.62,31.91,409055,189765,690255,59.26,27.49,31.77,554119,287021,868014,63.84,33.07,30.77
ILLINOIS,IL,17,2364269,2271295,4721282,50.08,48.11,1.97,2358049,1981413,4749721,49.65,41.72,7.93,2707103,2086499,4819088,56.17,43.30,12.87,2310939,2215940,4559120,50.69,48.60,2.09,1734096,2453350,5050157,34.34,48.58,-14.24,1587021,2341744,4311391,36.81,54.32,-17.51,2019421,2589026,4742108,42.58,54.60,-12.02,2345946,2891550,5274322,44.48,54.82,-10.34,2031179,3419348,5522371,36.78,61.92,-25.14,2135216.00,3019512,5242014,40.73,57.60,-16.87,2146015,3090729,5536424,38.76,55.83,-17.07,2446891,3471915,6033743,40.55,57.54,-16.99
INDIANA,IN,18,1183958,1014714,2220362,53.32,45.70,7.62,1255656,844197,2242033,56.01,37.65,18.36,1377230,841481,2233069,61.67,37.68,23.99,1297763,860643,2168621,59.84,39.69,20.15,989375,848420,2305871,42.91,36.79,6.12,1006693,887424,2135431,47.14,41.56,5.58,1245836,901980,2199302,56.65,41.01,15.64,1479438,969011,2468002,59.94,39.26,20.68,1345648,1374039,2751054,48.91,49.95,-1.04,1420543.00,1152887,2624534,54.13,43.93,10.20,1557286,1033126,2734958,56.94,37.77,19.17,1729519,1242416,3033118,57.02,40.96,16.06
IOWA,IA,19,632864,619931,1279303,49.47,48.46,1.01,676026,508672,1317661,51.31,38.60,12.71,703088,605620,1319805,53.27,45.89,7.38,545355,670557,1225614,44.50,54.71,-10.21,504891,586353,1354607,37.27,43.29,-6.02,492644,620258,1234075,39.92,50.26,-10.34,634373,638517,1353022,46.89,47.19,-0.30,751957,741898,1506908,49.90,49.23,0.67,682379,828940,1537123,44.39,53.93,-9.54,730617.00,822544,1582180,46.18,51.99,-5.81,800983,653669,1565580,51.16,41.75,9.41,897672,759061,1700130,52.80,44.65,8.15
KANSAS,KS,20,502752,430421,957845,52.49,44.94,7.55,566812,326150,979795,57.85,33.29,24.56,677296,333149,1021991,66.27,32.60,33.67,554049,422636,993044,55.79,42.56,13.23,449951,390434,1157236,38.88,33.74,5.14,583245,387659,1074300,54.29,36.08,18.21,622332,399276,1072216,58.04,37.24,20.80,736456,434993,1187756,62.00,36.62,25.38,699655,514765,1235872,56.61,41.65,14.96,692634.00,440726,1159971,59.71,37.99,21.72,671018,427005,1184402,56.65,36.05,20.60,771406,570323,1372303,56.21,41.56,14.65
KENTUCKY,KY,21,531852,615717,1167142,45.57,52.75,-7.18,635274,617417,1295627,49.03,47.65,1.38,821702,539539,1369345,60.01,39.40,20.61,734281,580368,1322517,55.52,43.88,11.64,617178,665104,1492900,41.34,44.55,-3.21,623283,636614,1388708,44.88,45.84,-0.96,872520,638923,1544106,56.51,41.38,15.13,1069439,712733,1795882,59.55,39.69,19.86,1048462,751985,1826620,57.40,41.17,16.23,1087190.00,679370,1797212,60.49,37.80,22.69,1202971,628854,1924149,62.52,32.68,29.84,1326646,772474,2136768,62.09,36.15,25.94
LOUISIANA,LA,22,587446,661365,1277383,45.99,51.77,-5.78,792853,708453,1548591,51.20,45.75,5.45,1037299,651586,1706822,60.77,38.18,22.59,883702,717460,1628202,54.27,44.06,10.21,733386,815971,1790017,40.97,45.58,-4.61,712586,927837,1783959,39.94,52.01,-12.07,927871,792344,1765656,52.55,44.88,7.67,1102169,820299,1943106,56.72,42.22,14.50,1148275,782989,1960761,58.56,39.93,18.63,1152262.00,809141,1994065,57.78,40.58,17.20,1178638,780154,2029032,58.09,38.45,19.64,1255776,856034,2148062,58.46,39.85,18.61
MAINE,ME,23,236320,232279,482968,48.93,48.09,0.84,238522,220974,523011,45.61,42.25,3.36,336500,214515,553144,60.83,38.78,22.05,307131,243569,555035,55.34,43.88,11.46,206504,263420,679499,30.39,38.77,-8.38,186378,312788,605897,30.76,51.62,-20.86,286616,319951,651817,43.97,49.09,-5.12,330201,396842,740752,44.58,53.57,-8.99,295273,421923,731163,40.38,57.71,-17.33,292276.00,401306,724758,40.33,55.37,-15.04,335593,357735,771892,43.48,46.35,-2.87,360737,435072,828305,43.55,52.53,-8.98
