state,state_po,FIPS,gop_1976_votes,dem_1976_votes,totalvotes_1976,gop_1976_prc,dem_1976_prc,gop_minus_dem_prc_1976,gop_1980_votes,dem_1980_votes,totalvotes_1980,gop_1980_prc,dem_1980_prc,gop_minus_dem_prc_1980,gop_1984_votes,dem_1984_votes,totalvotes_1984,gop_1984_prc,dem_1984_prc,gop_minus_dem_prc_1984,gop_1988_votes,dem_1988_votes,totalvotes_1988,gop_1988_prc,dem_1988_prc,gop_minus_dem_prc_1988,gop_1992_votes,dem_1992_votes,totalvotes_1992,gop_1992_prc,dem_1992_prc,gop_minus_dem_prc_1992,gop_1996_votes,dem_1996_votes,totalvotes_1996,gop_1996_prc,dem_1996_prc,gop_minus_dem_prc_1996,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020
SOUTH CAROLINA,SC,45,346149,450807,802583,43.13,56.17,-13.04,439277,428220,888258,49.45,48.21,1.24,615539,344459,968529,63.55,35.57,27.98,606443,370554,986009,61.50,37.58,23.92,577507,525514,1228912,46.99,42.76,4.23,573339,506152,1150182,49.85,44.01,5.84,786892,566037,1383902,56.86,40.90,15.96,937974,661669,1617700,57.98,40.90,17.08,1034896,862449,1920969,53.87,44.90,8.97,1071645.00,865941,1964118,54.56,44.09,10.47,1155389,855373,2103027,54.94,40.67,14.27,1385103,1091541,2514096,55.09,43.42,11.67
SOUTH DAKOTA,SD,46,151505,147068,300678,50.39,48.91,1.48,198343,103855,327703,60.53,31.69,28.84,200267,116113,317867,63.00,36.53,26.47,165415,145560,312991,52.85,46.51,6.34,136718,124888,336254,40.66,37.14,3.52,150543,139333,323826,46.49,43.03,3.46,190700,118804,316269,60.30,37.56,22.74,232584,149244,388215,59.91,38.44,21.47,203054,170924,381975,53.16,44.75,8.41,210610.00,145039,363815,57.89,39.87,18.02,227721,117458,370093,61.53,31.74,29.79,261043,150471,422609,61.77,35.61,26.16
TENNESSEE,TN,47,633969,825879,1476346,42.94,55.94,-13.00,787761,783051,1617616,48.70,48.41,0.29,990212,711714,1711993,57.84,41.57,16.27,947233,679794,1636250,57.89,41.55,16.34,841300,933521,1982638,42.43,47.08,-4.65,863530,909146,1894105,45.59,48.00,-2.41,1061949,981720,2076181,51.15,47.28,3.87,1384375,1036477,2437319,56.80,42.53,14.27,1479178,1087437,2599749,56.90,41.83,15.07,1462330.00,960709,2458577,59.48,39.08,20.40,1522925,870695,2508027,60.72,34.72,26.00,1852475,1143711,3053851,60.66,37.45,23.21
TEXAS,TX,48,1953300,2082319,4071884,47.97,51.14,-3.17,2510705,1881147,4541636,55.28,41.42,13.86,3433428,1949276,5397571,63.61,36.11,27.50,3036829,2352748,5427410,55.95,43.35,12.60,2496071,2281815,6154018,40.56,37.08,3.48,2736167,2459683,5611644,48.76,43.83,4.93,3799639,2433746,6407637,59.30,37.98,21.32,4526917,2832704,7410749,61.09,38.22,22.87,4479328,3528633,8077795,55.45,43.68,11.77,4569843.00,3308124,7993851,57.17,41.38,15.79,4685047,3877868,8969226,52.23,43.24,8.99,5890347,5259126,11315056,52.06,46.48,5.58
UTAH,UT,49,337908,182110,541218,62.43,33.65,28.78,439687,124266,604152,72.78,20.57,52.21,469105,155369,629656,74.50,24.68,49.82,428442,207343,647008,66.22,32.05,34.17,322632,183429,743998,43.36,24.65,18.71,361911,221633,665629,54.37,33.30,21.07,515096,203053,770754,66.83,26.34,40.49,663742,241199,927844,71.54,26.00,45.54,596030,327670,952370,62.58,34.41,28.17,740600.00,251813,1017440,72.79,24.75,48.04,515211,310674,1131317,45.54,27.46,18.08,865140,560282,1488289,58.13,37.65,20.48
VERMONT,VT,50,100387,77798,183902,54.59,42.30,12.29,94628,81952,213299,44.36,38.42,5.94,135865,95730,234561,57.92,40.81,17.11,124331,115775,243328,51.10,47.58,3.52,88122,133592,289701,30.42,46.11,-15.69,80352,137894,258449,31.09,53.35,-22.26,119775,149022,294308,40.70,50.63,-9.93,121180,184067,312309,38.80,58.94,-20.14,98974,219262,325046,30.45,67.46,-37.01,92698.00,199239,299290,30.97,66.57,-35.60,95369,178573,320467,29.76,55.72,-25.96,112704,242820,370968,30.38,65.46,-35.08
VIRGINIA,VA,51,836554,813896,1697094,49.29,47.96,1.33,989609,752174,1866032,53.03,40.31,12.72,1337078,796250,2146635,62.29,37.09,25.20,1309162,859799,2191609,59.74,39.23,20.51,1150517,1038650,2559129,44.96,40.59,4.37,1138350,1091060,2416642,47.10,45.15,1.95,1437490,1217290,2739447,52.47,44.44,8.03,1716959,1454742,3195415,53.73,45.53,8.20,1725005,1959532,3723260,46.33,52.63,-6.30,1822522.00,1971820,3854489,47.28,51.16,-3.88,1769443,1981473,3982752,44.43,49.75,-5.32,1962430,2413568,4460524,44.00,54.11,-10.11
WASHINGTON,WA,53,777732,717323,1555534,50.00,46.11,3.89,865244,650193,1742394,49.66,37.32,12.34,1051670,798352,1874910,56.09,42.58,13.51,903835,933516,1865253,48.46,50.05,-1.59,731234,993037,2287565,31.97,43.41,-11.44,840712,1123323,2253837,37.30,49.84,-12.54,1108864,1247652,2487433,44.58,50.16,-5.58,1304894,1510201,2859084,45.64,52.82,-7.18,1229216,1750848,3036878,40.48,57.65,-17.17,,1755396,3125516,,56.16,,1221747,1742718,3317019,36.83,52.54,-15.71,1584651,2369612,4087631,38.77,57.97,-19.20
WEST VIRGINIA,WV,54,314726,435864,750590,41.93,58.07,-16.14,334206,367462,737715,45.30,49.81,-4.51,405483,328125,735742,55.11,44.60,10.51,310065,341016,653311,47.46,52.20,-4.74,241974,331001,683677,35.39,48.41,-13.02,233946,327812,636459,36.76,51.51,-14.75,336475,295497,648124,51.92,45.59,6.33,423778,326541,755792,56.07,43.21,12.86,397466,303857,713451,55.71,42.59,13.12,417655.00,238269,670438,62.30,35.54,26.76,489371,188794,713051,68.63,26.48,42.15,545382,235984,794652,68.63,29.70,38.93
WISCONSIN,WI,55,1004987,1040232,2101336,47.83,49.50,-1.67,1088845,981584,2273221,47.90,43.18,4.72,1198584,995740,2211689,54.19,45.02,9.17,1047499,1126794,2191608,47.80,51.41,-3.61,930855,1041066,2531064,36.78,41.13,-4.35,845029,1071971,2196169,38.48,48.81,-10.33,1237279,1242987,2598607,47.61,47.83,-0.22,1478120,1489504,2997007,49.32,49.70,-0.38,1262393,1677211,2983417,42.31,56.22,-13.91,1410966.00,1620985,3071434,45.94,52.78,-6.84,1405284,1382536,2976150,47.22,46.45,0.77,1610184,1630866,3298041,48.82,49.45,-0.63
WYOMING,WY,56,92717,62239,156343,59.30,39.81,19.49,110700,49427,176713,62.64,27.97,34.67,133241,53370,188968,70.51,28.24,42.27,106867,67113,176551,60.53,38.01,22.52,79347,68160,199884,39.70,34.10,5.60,105388,77934,211571,49.81,36.84,12.97,147947,60481,213726,69.22,28.30,40.92,167629,70776,243861,68.74,29.02,39.72,164958,82868,254904,64.71,32.51,32.20,170962.00,69286,250701,68.19,27.64,40.55,174419,55973,258788,67.40,21.63,45.77,193559,73491,278503,69.50,26.39,43.11
