FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020,gop_2024_votes,dem_2024_votes,totalvotes_2024,gop_2024_prc,dem_2024_prc,gop_minus_dem_prc_2024
33,273559.00,266348.00,569081.00,48.07,46.80,1.27,331237.00,340511.00,677662.00,48.88,50.25,-1.37,316534.00,384826.00,710970.00,44.52,54.13,-9.61,329918.00,369561.00,710931.00,46.41,51.98,-5.58,345790.00,348526.00,744296.00,46.46,46.83,-0.37,365660.00,424937.00,803833.00,45.49,52.86,-7.37,395523.00,418488.00,826189.00,47.87,50.65,-2.78
34,1284173.00,1788850.00,3187226.00,40.29,56.13,-15.83,1668003.00,1911430.00,3609691.00,46.21,52.95,-6.74,1613207.00,2215422.00,3838498.00,42.03,57.72,-15.69,1477568.00,2125101.00,3640292.00,40.59,58.38,-17.79,1601933.00,2148278.00,3874046.00,41.35,55.45,-14.10,1883274.00,2608335.00,4549353.00,41.40,57.33,-15.94,1968215.00,2220713.00,4272725.00,46.06,51.97,-5.91
35,286417.00,286783.00,598605.00,47.85,47.91,-0.06,376930.00,370942.00,756304.00,49.84,49.05,0.79,346832.00,472422.00,830158.00,41.78,56.91,-15.13,335788.00,415335.00,783758.00,42.84,52.99,-10.15,319667.00,385234.00,798319.00,40.04,48.26,-8.21,401894.00,501614.00,923965.00,43.50,54.29,-10.79,423391.00,478802.00,2762766.00,15.32,17.33,-2.01
36,2403374.00,4107697.00,6821999.00,35.23,60.21,-24.98,2806993.00,4180755.00,7391036.00,37.98,56.57,-18.59,2742298.00,4769700.00,7591233.00,36.12,62.83,-26.71,2223397.00,4324228.00,7061925.00,31.48,61.23,-29.75,2814589.00,4547562.00,7707363.00,36.52,59.00,-22.48,3244798.00,5230985.00,8661735.00,37.46,60.39,-22.93,3605124.00,4714855.00,8386783.00,42.99,56.22,-13.23
37,1631163.00,1257692.00,2911262.00,56.03,43.20,12.83,1961166.00,1525849.00,3501007.00,56.02,43.58,12.43,2128474.00,2142651.00,4310789.00,49.38,49.70,-0.33,2270395.00,2178391.00,4505372.00,50.39,48.35,2.04,2362631.00,2189316.00,4741564.00,49.83,46.17,3.66,2758773.00,2684292.00,22099208.00,12.48,12.15,0.34,2898423.00,2715375.00,22796564.00,12.71,11.91,0.80
38,174852.00,95284.00,288267.00,60.66,33.05,27.60,196651.00,111052.00,312833.00,62.86,35.50,27.36,168601.00,141278.00,316621.00,53.25,44.62,8.63,188320.00,124966.00,322932.00,58.32,38.70,19.62,216794.00,93758.00,344360.00,62.96,27.23,35.73,235595.00,114902.00,361819.00,65.11,31.76,33.36,246505.00,112327.00,368155.00,66.96,30.51,36.45
39,2351209.00,2186190.00,4705457.00,49.97,46.46,3.51,2858727.00,2739952.00,5625631.00,50.82,48.70,2.11,2674491.00,2933388.00,5698048.00,46.94,51.48,-4.54,2661407.00,2827621.00,5580822.00,47.69,50.67,-2.98,2841005.00,2394164.00,5496487.00,51.69,43.56,8.13,3154834.00,2679165.00,5922202.00,53.27,45.24,8.03,3180116.00,2533699.00,5767788.00,55.14,43.93,11.21
40,744337.00,474276.00,1234229.00,60.31,38.43,21.88,959792.00,503966.00,1463758.00,65.57,34.43,31.14,960165.00,502496.00,1462661.00,65.65,34.35,31.29,891325.00,443547.00,1334872.00,66.77,33.23,33.54,949136.00,420375.00,1452992.00,65.32,28.93,36.39,1020280.00,503890.00,4682097.00,21.79,10.76,11.03,2072426.00,999198.00,12529384.00,16.54,7.97,8.57
41,713577.00,720342.00,1533968.00,46.52,46.96,-0.44,866831.00,943163.00,1836782.00,47.19,51.35,-4.16,738475.00,1037291.00,1827864.00,40.40,56.75,-16.35,754175.00,970488.00,1789270.00,42.15,54.24,-12.09,782403.00,1002106.00,2001336.00,39.09,50.07,-10.98,958448.00,1340383.00,2374321.00,40.37,56.45,-16.09,919480.00,1240600.00,2244493.00,40.97,55.27,-14.31
42,2281127.00,2485967.00,4912185.00,46.44,50.61,-4.17,2793847.00,2938095.00,5765764.00,48.46,50.96,-2.50,2649934.00,3266523.00,5977981.00,44.33,54.64,-10.31,2680434.00,2990274.00,5742040.00,46.68,52.08,-5.40,2970733.00,2926441.00,6115402.00,48.58,47.85,0.72,3377674.00,3458229.00,6915283.00,48.84,50.01,-1.16,7086616.00,6846084.00,56273648.00,12.59,12.17,0.43
44,130555.00,249508.00,409112.00,31.91,60.99,-29.08,169046.00,259760.00,436289.00,38.75,59.54,-20.79,165391.00,296571.00,471766.00,35.06,62.86,-27.81,157151.00,279409.00,445719.00,35.26,62.69,-27.43,180490.00,251888.00,463416.00,38.95,54.35,-15.41,199837.00,306210.00,516383.00,38.70,59.30,-20.60,214291.00,283750.00,511816.00,41.87,55.44,-13.57
45,786426.00,566039.00,1383777.00,56.83,40.91,15.93,937974.00,661699.00,1617730.00,57.98,40.90,17.08,1034896.00,862449.00,1920969.00,53.87,44.90,8.98,1071645.00,865941.00,1964118.00,54.56,44.09,10.47,1155389.00,855373.00,2103027.00,54.94,40.67,14.27,1385103.00,1091541.00,15079974.00,9.19,7.24,1.95,2967494.00,2056904.00,35673960.00,8.32,5.77,2.55
46,190700.00,118804.00,316269.00,60.30,37.56,22.73,232584.00,149244.00,388215.00,59.91,38.44,21.47,203054.00,170924.00,377708.00,53.76,45.25,8.51,210610.00,145039.00,363815.00,57.89,39.87,18.02,227721.00,117458.00,370093.00,61.53,31.74,29.79,261043.00,150471.00,422609.00,61.77,35.61,26.16,272081.00,146859.00,428922.00,63.43,34.24,29.19
47,1061949.00,981720.00,2076181.00,51.15,47.28,3.86,1381225.00,1032910.00,2430494.00,56.83,42.50,14.33,1479178.00,1087437.00,2600124.00,56.89,41.82,15.07,1462330.00,960709.00,2458577.00,59.48,39.08,20.40,1522925.00,870695.00,2508027.00,60.72,34.72,26.01,1852475.00,1143711.00,3053851.00,60.66,37.45,23.21,1966865.00,1056265.00,3063942.00,64.19,34.47,29.72
48,3799639.00,2433746.00,6407637.00,59.30,37.98,21.32,4526917.00,2832704.00,7410749.00,61.09,38.22,22.86,4479328.00,3528633.00,8077795.00,55.45,43.68,11.77,4569843.00,3308124.00,7993851.00,57.17,41.38,15.78,4685047.00,3877868.00,8969226.00,52.23,43.24,9.00,5890347.00,5259126.00,11315056.00,52.06,46.48,5.58,11507322.00,8746992.00,22777348.00,50.52,38.40,12.12
49,515096.00,203053.00,770754.00,66.83,26.34,40.49,663742.00,241199.00,927844.00,71.54,26.00,45.54,596030.00,327670.00,952370.00,62.58,34.41,28.18,740600.00,251813.00,1017440.00,72.79,24.75,48.04,515231.00,310676.00,1131430.00,45.54,27.46,18.08,865139.00,560282.00,5434835.00,15.92,10.31,5.61,883818.00,562566.00,1488494.00,59.38,37.79,21.58
50,119775.00,149022.00,294308.00,40.70,50.63,-9.94,121180.00,184067.00,312309.00,38.80,58.94,-20.14,98974.00,219262.00,325046.00,30.45,67.46,-37.01,92698.00,199239.00,299290.00,30.97,66.57,-35.60,95369.00,178573.00,315077.00,30.27,56.68,-26.41,112708.00,242826.00,370826.00,30.39,65.48,-35.09,108055.00,210938.00,331886.00,32.56,63.56,-31.00
51,1436877.00,1216422.00,2737915.00,52.48,44.43,8.05,1716959.00,1454742.00,3198367.00,53.68,45.48,8.20,1725005.00,1959532.00,3723260.00,46.33,52.63,-6.30,1822522.00,1971820.00,3854489.00,47.28,51.16,-3.87,1769443.00,1981473.00,3984631.00,44.41,49.73,-5.32,1962430.00,2413568.00,13386199.00,14.66,18.03,-3.37,2075085.00,2335395.00,4482576.00,46.29,52.10,-5.81
53,1108864.00,1247652.00,2488441.00,44.56,50.14,-5.58,1304894.00,1510201.00,2859084.00,45.64,52.82,-7.18,1229216.00,1750848.00,3036878.00,40.48,57.65,-17.18,1290670.00,1755396.00,3125516.00,41.29,56.16,-14.87,1221747.00,1742718.00,3209214.00,38.07,54.30,-16.23,1584651.00,2369612.00,4087631.00,38.77,57.97,-19.20,1530923.00,2245849.00,3924243.00,39.01,57.23,-18.22
54,336475.00,295497.00,648124.00,51.92,45.59,6.32,423550.00,326541.00,755659.00,56.05,43.21,12.84,397466.00,303857.00,713451.00,55.71,42.59,13.12,417655.00,238269.00,670440.00,62.30,35.54,26.76,489371.00,188794.00,713051.00,68.63,26.48,42.15,545382.00,235984.00,794652.00,68.63,29.70,38.94,533556.00,214309.00,762390.00,69.98,28.11,41.87
55,1237279.00,1242987.00,2598607.00,47.61,47.83,-0.22,1478120.00,1489504.00,2997007.00,49.32,49.70,-0.38,1262393.00,1677211.00,2983417.00,42.31,56.22,-13.90,1410966.00,1620985.00,3071434.00,45.94,52.78,-6.84,1404440.00,1381823.00,2975753.00,47.20,46.44,0.76,1610065.00,1630673.00,3297352.00,48.83,49.45,-0.62,1697626.00,1668229.00,3422918.00,49.60,48.74,0.86
56,147947.00,60481.00,218351.00,67.76,27.70,40.06,167629.00,70776.00,243428.00,68.86,29.07,39.79,164958.00,82868.00,256035.00,64.43,32.37,32.06,170962.00,69286.00,249061.00,68.64,27.82,40.82,174419.00,55973.00,255849.00,68.17,21.88,46.30,193559.00,73491.00,278503.00,69.50,26.39,43.11,192633.00,69527.00,269048.00,71.60,25.84,45.76
