FIPS,Median household income - Household Income_2012,Median household income - Household Income_2013,Median household income - Household Income_2014
41033,36102.0,36269.0,35109.0
41035,37370.0,36765.0,38193.0
41037,36167.0,35517.0,38668.0
41039,40545.0,40689.0,41123.0
41041,38302.0,40507.0,39738.0
41043,43019.0,42836.0,43837.0
41045,32412.0,36039.0,33994.0
41047,44725.0,44275.0,45631.0
41049,45652.0,46902.0,50246.0
41051,48018.0,46989.0,51580.0
41053,49504.0,52277.0,49636.0
41055,49295.0,52263.0,52251.0
41057,40797.0,41246.0,43558.0
41059,43691.0,43231.0,46725.0
41061,41192.0,41510.0,41504.0
41063,38522.0,38486.0,40554.0
41065,41711.0,41144.0,41324.0
41067,60555.0,62463.0,63566.0
41069,31983.0,32491.0,33973.0
41071,50288.0,52103.0,49656.0
42001,54415.0,54460.0,57919.0
42003,47490.0,49682.0,50831.0
42005,42711.0,41934.0,41796.0
42007,44020.0,48140.0,46933.0
42009,38548.0,40240.0,42055.0
42011,51631.0,52168.0,52058.0
42013,41095.0,42488.0,41154.0
42015,43060.0,44265.0,47475.0
42017,70960.0,70735.0,75378.0
42019,54363.0,54888.0,57346.0
42021,40494.0,39892.0,39724.0
42023,36278.0,38451.0,39346.0
42025,45698.0,44062.0,48313.0
42027,45154.0,47222.0,50088.0
42029,83829.0,79508.0,82456.0
42031,37740.0,41423.0,41538.0
42033,37025.0,41408.0,41519.0
42035,38423.0,40281.0,41949.0
42037,41898.0,40704.0,45038.0
42039,38302.0,40775.0,41756.0
42041,56288.0,58722.0,57982.0
42043,51670.0,51668.0,52096.0
42045,59038.0,59978.0,60900.0
42047,42750.0,43181.0,48703.0
42049,42341.0,41951.0,45935.0
42051,35442.0,36300.0,38740.0
42053,34736.0,32852.0,34693.0
42055,49541.0,49545.0,51890.0
42057,43947.0,44287.0,46848.0
42059,41927.0,42049.0,42819.0
42061,40947.0,41923.0,43456.0
42063,40538.0,41707.0,42614.0
42065,37911.0,39051.0,40876.0
42067,45810.0,44865.0,42261.0
42069,42081.0,43886.0,43002.0
42071,51784.0,53408.0,54748.0
42073,39047.0,41447.0,43346.0
42075,51142.0,53625.0,51490.0
42077,51426.0,50737.0,53457.0
42079,41745.0,42584.0,42244.0
42081,40825.0,42163.0,45306.0
42083,39679.0,40338.0,40621.0
42085,40244.0,41535.0,41889.0
42087,37163.0,38544.0,38220.0
42089,54111.0,52505.0,55492.0
42091,75369.0,76172.0,76924.0
42093,47518.0,48800.0,52625.0
42095,56369.0,57284.0,55483.0
42097,36503.0,39834.0,40814.0
42099,51390.0,52788.0,55287.0
42101,34667.0,34433.0,35518.0
42103,54674.0,56070.0,55159.0
42105,40472.0,40599.0,42097.0
42107,40384.0,45549.0,44430.0
42109,42016.0,45460.0,45746.0
42111,39542.0,39042.0,44184.0
42113,34026.0,38608.0,39396.0
42115,43583.0,46814.0,44632.0
42117,40651.0,41010.0,43719.0
42119,44997.0,46992.0,49327.0
42121,39351.0,39608.0,38351.0
42123,41008.0,40940.0,44466.0
42125,47823.0,52384.0,53545.0
42127,43627.0,47824.0,44265.0
42129,46468.0,46630.0,49642.0
42131,46899.0,49011.0,47497.0
42133,55960.0,55521.0,55646.0
44001,60631.0,68483.0,64572.0
44003,54665.0,59880.0,59682.0
44005,67431.0,65755.0,63434.0
44007,45572.0,46385.0,47601.0
44009,67195.0,68539.0,69150.0
45001,34658.0,36787.0,35456.0
45003,43196.0,42826.0,45699.0
45005,24615.0,24820.0,25633.0
45007,38851.0,41000.0,39905.0
45009,29101.0,28467.0,30170.0
45011,30898.0,33178.0,32042.0
45013,55266.0,55018.0,54139.0
45015,49284.0,49516.0,49872.0
45017,37507.0,38417.0,42006.0
45019,46187.0,49432.0,48200.0
45021,35223.0,36400.0,37135.0
45023,34908.0,32857.0,33718.0
45025,32483.0,30378.0,31936.0
45027,30913.0,30780.0,30519.0
45029,32446.0,32963.0,33208.0
45031,33772.0,36248.0,34103.0
45033,28665.0,26308.0,29205.0
45035,51132.0,51332.0,53924.0
45037,41501.0,42289.0,42065.0
45039,32261.0,34700.0,34007.0
45041,38914.0,39663.0,40577.0
