fips,poor_or_fair_health_percent,poor_physical_health_days,poor_mental_health_days,low_birthweight_percent,smokers_percent,obesity_percent,food_environment_index,physically_inactive_percent,access_to_exercise_percent,excessive_drinking_percent,alcohol_impaired_driving_death_rate,STI_rate,teen_birth_rate,uninsured_percent,primary_care_physician_rate,dentist_rate,mental_health_provider_rate,mammography_screening_percent,high_school_cohort_size,high_school_graduation_rate,some_college_percent,unemployment_percent,children_in_poverty_percent,income_inequality,single_parent_households_percent,violent_crime_rate,injury_death_rate,particulate_matter,severe_housing_problems_percent,drive_alone_percent,Driving alone to work - 95% CI - Low - 2016,long_commute_percent,child_mortality_rate,infant_mortality_rate,frequent_physical_distress_percent,diabetic_percent,HIV_rate,food_insecure_percent,limited_access_to_food_percent,drug_overdose_mortality_rate,motor_vehicle_mortality_rate,insufficient_sleep_percent,uninsured_adults_percent,uninsured_children_percent,median_household_income,free_lunch_percent,segregation_black_to_white,segregation_nonwhite_to_white,homicide_rate,population_2016,age_under_18_percent,age_65_or_older_percent,black_percent,american_indian_percent,asian_percent,hawaiian_or_pac_islander_percent,hispanic_percent,white_non_hispanic_percent,not_proficient_in_english_percent,female_percent,rural_percent
48329,16,3.1,2.9,7.902973396,14.7,30.8,7.3,25.6,81.0830557,20.1,32.76836158,647.8229739,69.92375035,21.77343128,38.95212,48.7711,71.23147,49,1622,80.86313194,61.74440183,2.839891689,14.1,4.407830896,32.13131187,311.4313193,58.18439393,10.29,13.58717435,84.39385817,83.03243966,17.1,49.45096746,5.685367987,9.4,9.2,123.3098417,12.9,9.965953186,10.79430677,21.37746959,32.4,25.02311878,14.88914064,74811,37.62642772,46.95403451,32.24344755,3.4,155830,27.60444074,10.16043124,6.037348393,1.126227299,1.647307964,0.089199769,42.42251171,48.5753706,5.295509682,49.82737599,12.29177626
48331,19.6,3.8,3.3,8.676789588,15.9,31.2,6,27.2,39.75037363,15,30.3030303,500.8900112,62.78101582,24.67828975,24.82724,20.61346,16.49077,50,294,90.34013605,48.76914131,6.169465053,28.6,5.08814401,35.95651468,175.7562846,68.4909168,8.85,14.04255319,76.04693724,72.66502777,36.3,86.70975879,,11.9,13.2,131.1673898,19.6,8.324266163,,22.00920912,32.6,29.2185984,15.10617761,41849,57.70972612,33.5963754,24.17986948,,24256,24.84333773,19.38901715,9.172988127,1.249175462,0.729716359,0.028858839,25.54419525,63.22147098,1.816506516,50.33806069,56.18208991
48333,15.2,3.3,3.1,5.438066465,13.6,27.9,6.6,27.1,32.71880065,15.9,33.33333333,165.7000829,42.8696413,34.30456295,20.37905,41.06776,102.6694,59,,,64.76190476,4.408914729,25.6,5.129618413,18.83479649,114.1169363,77.88161994,9.36,14.28571429,85.02441671,79.57333061,23.1,,,9.8,12.3,,16.1,9.746913655,,,29,38.67743176,24,38564,46.36058231,,,,4870,22.42299795,25.15400411,0.821355236,0.944558522,0.246406571,0.020533881,17.26899384,80.28747433,2.452256944,51.00616016,100
48335,18.4,3.4,2.9,8.379888268,15.4,28.5,7.3,26.9,45.0494523,19.5,28.57142857,353.470437,82.94392523,23.93103448,31.9081,11.01807,,43,98,92.44897959,47.08222812,4.481696887,25.2,3.814764058,37.00831025,273.0040951,59.61759571,9.73,8.561020036,81.87919463,78.2363486,32.6,,,10.5,10.3,86.94572103,15.1,4.728068869,,24.39396249,32.6,28.27551784,14.71518987,41363,49.05533063,5.551631652,10.54837512,,9076,20.00881446,13.7505509,10.46716615,1.52049361,0.705156457,0.055090348,39.24636404,48.45747025,4.553254776,39.87439401,36.74359247
48337,13.7,3.2,3.1,8.085612366,14.5,27.5,6.5,25.4,55.87504437,17,22.22222222,143.1127013,57.87857312,24.78286423,25.63708,30.90235,30.90235,41,197,91.72588833,49.97632576,3.920814915,21.8,4.508533454,27.1668533,158.7525577,102.7832901,9.91,16.56327543,80.13041339,76.74688131,34.3,,,9.6,10.9,42.63353432,17.8,7.536137099,18.80856303,30.44162094,29,28.49674402,16.22030238,48996,41.57336476,,15.49553061,,19416,22.98104656,21.48228265,0.57684384,1.40605686,0.386279357,0.030902349,10.54285126,86.45447054,1.603435156,50.79316028,58.94315128
48339,14.4,3.1,2.9,7.359864973,14,28,7,23.1,88.57960355,19.1,36.72131148,193.3833216,37.84482447,21.11050646,61.10547,44.70591,63.01222,59,6155,91.68497157,63.30171739,4.370008873,15.5,4.728269572,24.24910989,215.1611458,55.82184518,8.7,15.9498096,80.22874039,79.39561849,48.8,44.92880512,5.477661061,9.2,9.1,102.9792248,16,6.018490815,9.114308733,15.31856041,32.4,24.91186256,13.22655183,70929,35.76572151,39.48165598,21.13742058,3.5,518947,26.76361941,12.04920734,4.485814544,0.987769464,2.683125637,0.118123816,22.49285573,68.63340572,5.080470788,50.45255103,22.72559715
48341,22.2,3.8,3.2,7.403581267,16.2,31.2,6.6,27.7,59.85208181,16.4,40.625,376.4621521,84.90077653,29.17971512,31.61555,31.60556,13.54524,53,305,95,42.53984402,3.492759982,20.4,3.441719471,32.41220495,274.9729535,63.70180276,10.39,15.66176471,72.30754645,67.79221889,13.7,63.94997691,,12.2,11.5,70.10983875,11.8,18.38016469,,25.78120352,33.2,35.85592564,17.28275862,42839,54.54894434,40.35744651,23.19695799,,22148,31.29853711,10.19053639,2.45620372,1.526097165,8.610258263,0.185118295,52.79934983,34.87899585,16.61122971,47.90048763,16.8142805
48343,16.8,3.5,3.3,10.11139674,16.1,33.8,5.8,30.2,40.53657028,15.3,30.43478261,383.2016892,63.84386371,25.36695892,15.58361,39.23723,15.69489,65,153,97.5,53.60899529,7.66384778,29.9,4.378115783,33.97391901,433.8948443,93.22995168,10.47,13.61829026,89.45856354,,30.1,,,10.8,13,130.9757695,23.5,1.840462297,,33.07607497,32.3,29.71254837,15.25478741,37954,64.00900901,5.816640945,9.981482625,,12743,22.89099898,21.03115436,22.52216903,1.19281174,0.549321196,0.109864239,9.118731853,65.14949384,2.157614129,52.0285647,78.4212154
48345,18.8,3.8,3.4,,15.9,28.1,5.8,30.7,,14.3,50,,,30.63583815,0,0,,,,,67.84140969,4.471544715,31,4.614169002,15.54770318,81.23476848,,9.51,8.791208791,85.31317495,74.729568,15.2,,,11.9,14.4,,20.4,8.214342799,,,30.6,34.56,20.63492064,37936,57.44680851,,,,1153,19.94796184,28.44752819,1.994796184,1.734605377,0.867302689,0,16.47875108,79.87857762,2.066486972,48.39549003,100
48347,20.9,3.9,3.5,7.563791009,17.8,32.6,4.6,25.5,66.35670448,16.1,20.45454546,620.8922676,36.68738967,27.17270462,75.00383,50.53521,82.69399,56,671,87.77645306,55.06934813,5.378769476,28.7,5.678391603,37.97801619,410.9686465,71.61166194,9.34,21.0152721,78.55308697,76.00117117,20.5,49.18113412,5.67418247,11.9,10.6,183.7897445,23,14.63478447,10.67805659,22.6366354,32.4,32.68109125,14.20834661,38895,59.45921667,42.87999213,36.68976649,6.6,65301,23.47437252,13.08555765,17.82514816,0.91882207,1.650816986,0.065848915,18.54642349,60.29463561,5.257265168,52.31772867,46.46023185
48349,20.5,3.9,3.4,8.14451929,17.8,34.2,5.7,27.7,53.49952865,15.8,25.64102564,477.2921487,72.01826805,27.38785093,52.04213,33.19846,51.8726,48,589,91.73174873,46.89050319,5.240025603,31.8,4.418850997,37.20930233,450.2643754,58.06424663,9.41,18.17660551,81.4578071,78.94861929,29.2,50.19983395,5.033219247,12,12.5,210.9270501,20.2,9.968422123,6.934235709,17.06229233,31.8,33.40951966,14.70363581,43091,61.46042587,29.2420239,20.4370349,4.2,48195,26.20396307,16.20085071,13.30013487,1.126672891,0.83826123,0.879759311,25.55866791,57.97281876,6.795898679,50.4907148,52.65737928
